from_city_id,to_city_id,from_id,to_id,transport_id,price_min_EUR,price_max_EUR,duration_min
8,105,134,105,2,70,90,3197
8,110,8,252,1,200,270,340
8,110,8,192,1,130,550,455
8,110,8,335,1,230,320,540
8,110,8,370,1,140,550,465
8,110,8,252,1,230,320,440
8,110,252,335,3,14,45,48
8,110,8,207,2,47,47,2160
8,110,353,335,3,30,95,188
8,110,8,207,2,47,47,2160
8,110,8,207,2,47,47,2160
8,110,309,335,2,45,65,1530
8,109,8,130,1,130,550,410
8,109,130,109,3,13,65,108
8,109,8,109,1,360,550,595
8,109,8,303,1,200,280,320
8,109,303,109,3,17,40,233
8,109,8,353,1,496,499,425
8,109,353,130,3,10,55,81
8,109,130,109,3,11,35,108
8,109,8,327,1,210,300,535
8,109,327,109,10,35,55,660
8,109,8,207,2,47,47,2160
8,109,8,207,2,47,47,2160
8,109,134,109,2,80,100,1783
8,106,8,106,1,350,500,595
8,106,8,249,1,300,800,550
8,106,249,106,2,18,25,225
8,106,8,105,1,280,400,545
8,106,105,106,2,24,35,230
8,106,8,248,1,240,350,550
8,106,248,106,3,35,45,387
8,106,8,351,1,260,370,520
8,106,351,105,3,14,18,112
8,106,105,106,2,24,35,230
8,106,8,186,1,310,440,645
8,106,186,106,3,14,18,147
8,106,8,207,2,47,47,2160
8,106,117,106,2,125,125,3472
8,106,8,207,2,47,47,2160
8,106,309,106,2,110,150,2912
8,106,8,207,2,47,47,2160
8,106,309,106,2,330,430,3210
8,106,8,207,2,47,47,2160
8,106,8,207,2,47,47,2160
8,106,134,106,2,70,90,3493
