from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
10,76,1,flight,3600000,IDR,219.21,1070.0
10,77,1,flight,160,USD,137.28,1145.0
10,77, ,car,850,USD,729.3,7897.8
10,78, ,car,90,USD,77.22,2177.4
10,79,1,flight,850,MYR,174.83,1985.0
10,79, ,car,2300,MYR,473.07,9406.6
10,80,1,flight,4200000,IDR,255.75,1835.0
10,81,1,flight,210,USD,180.18,1920.0
10,81, ,car,850,USD,729.3,8871.1
10,82,1,flight,2400,CNY,322.3,1055.0
10,82, ,car,6000,CNY,805.76,7695.8
10,82, ,car,6000,CNY,805.76,7657.3
10,82,1,flight,2400,CNY,322.3,1055.0
10,82, ,car,6000,CNY,805.76,7695.8
10,82, ,car,6000,CNY,805.76,7657.3
10,83,1,flight,250000,KRW,182.09,1240.0
10,83,1,flight,250000,KRW,182.09,1240.0
10,84, ,car,0,,0,1081.8
10,85,1,flight,1900,CNY,255.16,1100.0
10,85, ,car,6500,CNY,872.91,7816.7
10,86, ,car,0,,0,844.7
10,87,1,flight,190,USD,163.02,955.0
10,87,1,flight,190,USD,163.02,955.0
10,88,1,flight,7000,THB,180.04,990.0
10,88, ,car,31000,THB,797.3,8262.2
10,89,1,flight,36000,JPY,270.43,1630.0
10,89,1,flight,36000,JPY,270.43,1630.0
10,90,1,flight,5500,THB,141.46,790.0
10,90, ,car,32000,THB,823.02,8766.8
10,91,1,flight,5500,INR,62.86,270.0
10,91, ,car,55000,INR,628.57,5808.0
10,92, ,car,6500,CNY,872.91,7882.9
10,93,1,flight,7000,INR,80.0,505.0
10,94,1,flight,700,MYR,143.98,1110.0
10,94, ,car,2300,MYR,473.07,9245.5
10,94, ,car,2300,MYR,473.07,9211.6
10,94,1,flight,700,MYR,143.98,1110.0
10,94, ,car,2300,MYR,473.07,9245.5
10,94, ,car,2300,MYR,473.07,9211.6
11,9,1,flight,440,USD,377.52,925.0
11,9, ,car,550,USD,471.9,5130.8
11,10,1,flight,220,USD,188.76,1115.0
11,10, ,car,900,USD,772.2,8668.3
11,12,1,flight,90,USD,77.22,535.0
11,12, ,car,130,USD,111.54,1378.3
11,13,1,flight,350,USD,300.3,760.0
11,13, ,car,850,USD,729.3,8106.6
11,15,1,flight,200,USD,171.6,525.0
11,16,1,flight,700,CNY,94.01,410.0
11,16, ,car,2000,CNY,268.59,3055.3
11,17,1,flight,360,USD,308.88,620.0
11,17, ,car,700,USD,600.6,7085.9
11,18,1,flight,420,USD,360.36,635.0
11,18, ,car,320,USD,274.56,3258.1
11,19,1,flight,190,USD,163.02,910.0
11,20,1,flight,480,USD,411.84,830.0
11,21,1,flight,750,USD,643.5,1160.0
11,21, ,car,600,USD,514.8,5272.1
11,22,1,flight,330,USD,283.14,740.0
11,22, ,car,750,USD,643.5,7619.1
11,23,1,flight,100,USD,85.8,460.0
11,23, ,car,250,USD,214.5,2605.3
11,24,1,flight,36000,LKR,-1,400.0
11,24,1,flight,36000,LKR,-1,400.0
11,25,1,flight,340,USD,291.72,1945.0
11,25, ,car,550,USD,471.9,4647.5
11,26,1,flight,350,USD,300.3,1040.0
11,27,1,flight,26,USD,22.31,290.0
11,28,1,flight,500,USD,429.0,975.0
11,29,1,flight,300,USD,257.4,1185.0
11,29, ,car,600,USD,514.8,5320.2
11,30,1,flight,420,USD,360.36,1130.0
11,31,1,flight,490,USD,420.42,755.0
11,31,1,flight,490,USD,420.42,755.0
11,32,1,flight,260,USD,223.08,850.0
11,32, ,car,750,USD,643.5,7377.4
11,33,1,flight,390,USD,334.62,945.0
11,34,1,flight,310,USD,265.98,1145.0
11,35,1,flight,350,USD,300.3,1015.0
11,36,1,flight,850,USD,729.3,1355.0
11,37,1,flight,420,USD,360.36,1035.0
11,38,1,flight,550,USD,471.9,1438.0
11,38,1,flight,550,USD,471.9,1709.0
11,38,1,flight,550,USD,471.9,1438.0
