118,Banja Luka,bnx,22,17.1833,44.7667,Bosnia and Herzegovina
119,Belfast,belf,188,-5.93,54.5964,United Kingdom
120,Birmingham,bhx,188,-1.9025,52.48,United Kingdom
121,Bournemouth,boh,188,-1.88,50.72,United Kingdom
122,Bristol,brs,188,-2.5833,51.45,United Kingdom
123,Budapest,bud,76,19.0408,47.4983,Hungary
124,Berlin,ber,65,13.3833,52.5167,Germany
126,Bremen,bre,65,8.7975,53.1153,Germany
127,Billund,bll,47,9.1159357,55.7309428,Denmark
128,Barcelona,bcn,166,2.1769,41.3825,Spain
129,Bilbao,bio,166,-2.9533,43.2622,Spain
130,Bologna,blq,84,11.3428,44.4939,Italy
131,Bergen,bgo,131,5.3233,60.3925,Norway
132,Bodo,boo,131,14.3751,67.2827,Norway
134,Bucharest,otp,144,26.0833,44.4,Romania
135,Belgrade,beli,155,20.4667,44.8167,Serbia
136,Bratislava,bts,159,17.1128,48.1447,Slovakia
137,Bordeaux,bod,61,-0.58,44.84,France
139,Brno,brq,45,16.6083,49.1953,Czech Republic
140,Basel,bsl,171,7.5906,47.5606,Switzerland
141,Bern,brn,171,7.4474,46.948,Switzerland
142,Cardiff,cwl,188,-3.1791934,51.4816546,United Kingdom
145,Cologne,cgn,65,6.9578,50.9422,Germany
146,Corfu,cfu,67,19.8596189,39.591337,Greece
147,Copenhagen,cope,47,12.5635,55.6786,Denmark
150,Cork,ork,82,-8.4731,51.9,Ireland
151,Cagliari,cag,84,9.104,39.2224,Italy
152,Catania,cta,84,15.0873,37.5027,Italy
153,Cluj-Napoca,clj,144,23.5594,46.78,Romania
154,Clermont-Ferrand,cfe,61,3.0824,45.7831,France
155,Chambery,cmf,61,5.9118,45.57,France
156,Cherbourg,cfr,61,-1.65,49.6504,France
158,Doncaster,dsa,188,-1.133,53.515,United Kingdom
159,Dortmund,dtm,65,7.4653,51.5139,Germany
160,Dresden,drs,65,13.7384,51.0493,Germany
161,Dusseldorf,duss,65,6.7763137,51.2254018,Germany
162,Dublin,dub,82,-6.2658,53.3425,Ireland
163,Dalaman,dlm,182,28.8831401,36.8125748,Turkey
164,Dubrovnik,dbv,42,18.1083,42.6403,Croatia
165,Castle Donington,ema,188,-0.6717948,52.7965611,United Kingdom
166,Edinburgh,edi,188,-3.189,55.953,United Kingdom
167,Exeter,ext,188,-3.5333,50.7167,United Kingdom
169,Esbjerg,ebj,47,8.45,55.467,Denmark
171,Eilat,etm,83,34.9497949,29.5569348,Israel
172,Eindhoven,ein,124,5.5,51.43,Netherlands
174,Frankfurt,fran,65,8.6797,50.1136,Germany
175,Friedrichshafen,fdh,65,9.4792,47.6542,Germany
176,Fuerteventura,fue,166,-14.0048697,28.4003769,Spain
177,Florence,flr,84,11.2542,43.7714,Italy
178,Floro,fro,131,5.0172,61.5986,Norway
179,Faro,fao,142,-7.9333,37.0167,Portugal
180,Funchal,fnc,142,-16.9167,32.65,Portugal
181,Graz,grz,10,15.4333,47.0667,Austria
183,Guernsey,gci,188,-7.374733,57.1669969,United Kingdom
184,Glasgow,glas,188,-4.2514,55.8609,United Kingdom
185,Gloucestershire,glo,188,-2.1880662,51.7643786,United Kingdom
186,Granada,grx,166,-3.6008,37.1781,Spain
187,Girona,gro,166,2.8167,41.9833,Spain
189,Genoa,goa,84,8.934,44.4072,Italy
190,Groningen,grq,124,6.58,53.2204,Netherlands
191,Gdansk,gdn,141,18.6333,54.3667,Poland
192,Geneva,gva,171,6.15,46.2,Switzerland
193,Gothenburg,goth,170,11.981,57.6717,Sweden
194,Humberside,huy,188,-0.3534607,53.5713963,United Kingdom
196,Hamburg,hamb,65,10.0,53.55,Germany
197,Hannover,haj,65,9.7386,52.3744,Germany
200,Heraklion,her,67,25.1343475,35.3400127,Greece
201,Helsinki,hel,60,24.9342,60.1756,Finland
202,Innsbruck,inn,10,11.3933,47.2683,Austria
203,Inverness,inv,188,-4.2233,57.4781,United Kingdom
204,Debrecen,deb,76,21.6392,47.53,Hungary
205,Ibiza,ibz,166,1.4328,38.9089,Spain
206,Izmir,izmi,182,27.1434119,38.4147331,Turkey
207,Istanbul,ista,182,28.9603,41.01,Turkey
208,Jonkoping,jkg,170,14.165719,57.7825634,Sweden
209,Klagenfurt,klu,10,14.3,46.6167,Austria
210,Baden-Baden,fkb,65,8.4,49.0167,Germany
211,Kortrijk,kjk,17,3.2659884,50.8276429,Belgium
212,Kaunas,kun,101,23.9333,54.9,Lithuania
213,Katowice,ktw,141,19.0,50.25,Poland
214,Krakow,krk,141,19.9372,50.0614,Poland
215,Kosice,ksc,159,21.2496774,48.7172272,Slovakia
216,Karlovy Vary,klv,45,12.8725,50.2306,Czech Republic
217,Karlstad,ksd,170,13.4999,59.3671,Sweden
218,Kuressaare,ure,56,22.4861,58.2533,Estonia
219,Linz,lnz,10,14.2833,48.3,Austria
220,Liege,lgg,17,5.5907,50.625,Belgium
221,Land's End,leq,188,-5.7148222,50.0662633,United Kingdom
222,Liverpool,lpl,188,-2.9833,53.4,United Kingdom
224,Leeds,lba,188,-1.5492,53.7997,United Kingdom
225,London,lond,188,-0.1275,51.5072,United Kingdom
227,Lanzarote,ace,166,-13.634,29.013,Spain
228,Las Palmas de Gran Canaria,lpa,166,-15.41343,28.09973,Spain
230,Lamezia Terme,suf,84,16.3021451,38.9645069,Italy
231,Larnaca,lca,44,33.6305,34.9233,Cyprus
232,Liepaja,lpx,95,21.0111,56.5083,Latvia
233,Luxembourg,lux,102,6.1328,49.6106,Luxembourg
235,Lisbon,lis,142,-9.1604,38.7452,Portugal
236,Ljubljana,lju,160,14.5167,46.05,Slovenia
237,Lappeenranta,lpp,60,28.1861,61.0583,Finland
239,Lille,lil,61,3.0583,50.6278,France
240,Lyon,lyon,61,4.84,45.76,France
241,Lugano,lug,171,8.9625,46.0103,Switzerland
242,Lulea,lla,170,22.1459535,65.5831187,Sweden
243,Manchester,man,188,-2.2453,53.4794,United Kingdom
244,Mannheim,mhg,65,8.4661,49.4878,Germany
245,Memmingen,fmm,65,10.1811,47.9878,Germany
246,Muenster,fmo,65,7.6251879,51.9625101,Germany
247,Munich,muc,65,11.5755,48.1372,Germany
248,Madrid,mad,166,-3.6919,40.4189,Spain
249,Malaga,agp,166,-4.4216366,36.7213028,Spain
250,Mahon,mah,82,-8.4042476,51.8922026,Ireland
251,Murcia,rmu,166,-1.1415,37.9866,Spain
252,Milan,mila,84,9.19,45.4669,Italy
253,Malta,mla,108,-73.7879,42.9853,Malta
255,Maastricht,mst,124,5.677,50.853,Netherlands
257,Milas,bjv,182,27.8085702,37.2745504,Turkey
259,Marseille,mrs,61,5.37,43.2964,France
260,Metz,etz,61,6.1778,49.1203,France
261,Montpellier,mpl,61,3.8772,43.6119,France
262,Malmo,mmx,170,13.0001566,55.6052931,Sweden
263,Norwich,nwi,188,1.297,52.63,United Kingdom
264,Newcastle,ncl,188,-1.6578,55.0077,United Kingdom
265,Newquay,nqy,188,-5.0757,50.412,United Kingdom
266,Nuremberg,nue,65,11.0778,49.4528,Germany
267,Naples,nap,84,14.25,40.8333,Italy
268,Constanta,cnd,144,28.6383,44.1733,Romania
269,Nantes,nte,61,-1.5528,47.2181,France
270,Nice,nce,61,7.2663,43.7034,France
271,Norrkoping,nrk,170,16.1903511,58.5909124,Sweden
272,Ostend,ost,17,2.919496,51.2258565,Belgium
273,Alderney,aci,188,-2.2254277,49.72837,United Kingdom
274,Oviedo,ovd,166,-5.8423,43.3634,Spain
275,Olbia,olb,84,9.5151,40.9143,Italy
276,Ohrid,ohd,130,20.8019,41.1169,North Macedonia
277,Oslo,oslo,131,10.7528,59.9111,Norway
279,Ostrava,osr,45,18.2925,49.8356,Czech Republic
280,Plovdiv,pdv,26,24.7489,42.1433,Bulgaria
281,Plymouth,plh,188,-4.1422,50.3714,United Kingdom
282,Paderborn,pad,65,8.7667,51.7167,Germany
283,Rostock,rlg,65,12.1333,54.0833,Germany
284,Palma de Mallorca,pmi,166,2.6482482,39.568631,Spain
285,Palermo,pmo,84,13.3613,38.1157,Italy
286,Pescara,psr,84,14.2142,42.4643,Italy
287,Pisa,psa,84,10.4,43.7167,Italy
288,Paphos,pfo,44,32.4265,34.7761,Cyprus
289,Palanga,plg,101,21.0639,55.9167,Lithuania
290,Ponta Delgada,pdl,142,-25.67,37.74,Portugal
291,Porto,opo,142,-8.6108,41.1495,Portugal
292,Poprad,tat,159,20.3,49.05,Slovakia
293,Paris,pari,61,2.3522,48.8566,France
