WOA,Wonenara Airport,Wonenara,PG,Papua New Guinea,-6.7969,145.8919
WSU,Wasu Airport,Wasu,PG,Papua New Guinea,-5.9617,147.1982
WTP,Woitape Airport,Fatima Mission,PG,Papua New Guinea,-8.5458,147.2525
WUG,Wau Airport,Wau,PG,Papua New Guinea,-7.3456,146.7186
JEG,Aasiaat Airport,Aasiaat,GL,Greenland,68.7218,-52.7847
UAK,Narsarsuaq Airport,Narsarsuaq,GL,Greenland,61.1605,-45.426
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL,Greenland,70.7431,-22.6505
GOH,Godthaab / Nuuk Airport,Nuuk,GL,Greenland,64.1909,-51.6781
JAV,Ilulissat Airport,Ilulissat,GL,Greenland,69.2432,-51.0571
KUS,Kulusuk Airport,Kulusuk,GL,Greenland,65.5736,-37.1236
JSU,Maniitsoq Airport,Maniitsoq,GL,Greenland,65.4125,-52.9394
JFR,Paamiut Airport,Paamiut,GL,Greenland,62.0147,-49.6709
NAQ,Qaanaaq Airport,Qaanaaq,GL,Greenland,77.4886,-69.3887
SFJ,Kangerlussuaq Airport,Kangerlussuaq,GL,Greenland,67.0122,-50.7116
JHS,Sisimiut Airport,Sisimiut,GL,Greenland,66.9513,-53.7293
THU,Thule Air Base,Thule,GL,Greenland,76.5312,-68.7032
JUV,Upernavik Airport,Upernavik,GL,Greenland,72.7902,-56.1306
JQA,Qaarsut Airport,Uummannaq,GL,Greenland,70.7342,-52.6962
AEY,Akureyri Airport,Akureyri,IS,Iceland,65.66,-18.0727
BIU,Bildudalur Airport,Bildudalur,IS,Iceland,65.6413,-23.5462
BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri,IS,Iceland,65.5164,-13.805
BJD,Bakkafjordur Airport,Bakkafjordur,IS,Iceland,66.0219,-14.8244
BLO,Hjaltabakki Airport,Blonduos,IS,Iceland,65.645,-20.2875
BXV,Breiddalsvik Airport,Breiddalsvik,IS,Iceland,64.79,-14.0228
DJU,Djupivogur Airport,Djupivogur,IS,Iceland,64.6442,-14.2828
EGS,Egilsstadir Airport,Egilsstadir,IS,Iceland,65.2833,-14.4014
FAS,Faskrudsfjordur Airport,Faskrudsfjordur,IS,Iceland,64.9317,-14.0606
FAG,Fagurholsmyri Airport,Fagurholsmyri,IS,Iceland,63.8747,-16.6411
GUU,Grundarfjordur Airport,Grundarfjordur,IS,Iceland,64.9914,-23.2247
GJR,Gjogur Airport,Gjogur,IS,Iceland,65.9953,-21.3269
GRY,Grimsey Airport,Grimsey,IS,Iceland,66.5458,-18.0173
HVK,Holmavik Airport,Holmavik,IS,Iceland,65.7047,-21.6964
HFN,Hornafjordur Airport,Hornafjordur,IS,Iceland,64.2956,-15.2272
FLI,Holt Airport,Flateyri,IS,Iceland,66.0142,-23.4417
HZK,Husavik Airport,Husavik,IS,Iceland,65.9523,-17.426
IFJ,Isafjordur Airport,Isafjordur,IS,Iceland,66.0581,-23.1353
KEF,Keflavik International Airport,Reykjavik,IS,Iceland,63.985,-22.6056
