id,city,airplanCode1,airplanCode2,id2,alt,lng,stateCode,country
213,Katowice,ktw,,141,50.25,19,,Poland
214,Krakow,krk,,141,50.0614,19.9372,,Poland
215,Kosice,ksc,,159,48.7172272,21.2496774,,Slovakia
216,Karlovy Vary,klv,,45,50.2306,12.8725,,Czech Republic
217,Karlstad,ksd,,170,59.3671,13.4999,,Sweden
218,Kuressaare,ure,,56,58.2533,22.4861,,Estonia
219,Linz,lnz,,10,48.3,14.2833,,Austria
220,Liege,lgg,,17,50.625,5.5907,,Belgium
221,Land's End,leq,,188,50.0662633,-5.7148222,,United Kingdom
222,Liverpool,lpl,,188,53.4,-2.9833,,United Kingdom
224,Leeds,lba,,188,53.7997,-1.5492,,United Kingdom
225,London,lond,"ltn,lhr,lgw,stn,lcy,sen",188,51.5072,-0.1275,,United Kingdom
227,Lanzarote,ace,,166,29.013,-13.634,,Spain
228,Las Palmas de Gran Canaria,lpa,,166,28.09973,-15.41343,,Spain
230,Lamezia Terme,suf,,84,38.9645069,16.3021451,,Italy
231,Larnaca,lca,,44,34.9233,33.6305,,Cyprus
232,Liepaja,lpx,,95,56.5083,21.0111,,Latvia
233,Luxembourg,lux,,102,49.6106,6.1328,,Luxembourg
235,Lisbon,lis,,142,38.7452,-9.1604,,Portugal
236,Ljubljana,lju,,160,46.05,14.5167,,Slovenia
237,Lappeenranta,lpp,,60,61.0583,28.1861,,Finland
239,Lille,lil,,61,50.6278,3.0583,,France
240,Lyon,lyon,"lys,lyn",61,45.76,4.84,,France
241,Lugano,lug,,171,46.0103,8.9625,,Switzerland
242,Lulea,lla,,170,65.5831187,22.1459535,,Sweden
243,Manchester,man,,188,53.4794,-2.2453,,United Kingdom
244,Mannheim,mhg,,65,49.4878,8.4661,,Germany
245,Memmingen,fmm,,65,47.9878,10.1811,,Germany
246,Muenster,fmo,,65,51.9625101,7.6251879,,Germany
247,Munich,muc,,65,48.1372,11.5755,,Germany
248,Madrid,mad,,166,40.4189,-3.6919,,Spain
249,Malaga,agp,,166,36.7213028,-4.4216366,,Spain
250,Mahon,mah,,82,51.8922026,-8.4042476,,Ireland
251,Murcia,rmu,,166,37.9866,-1.1415,,Spain
252,Milan,mila,"mxp, bgy, lin",84,45.4669,9.19,,Italy
253,Malta,mla,,108,42.9853,-73.7879,,Malta
255,Maastricht,mst,,124,50.853,5.677,,Netherlands
257,Milas,bjv,,182,37.2745504,27.8085702,,Turkey
259,Marseille,mrs,,61,43.2964,5.37,,France
260,Metz,etz,,61,49.1203,6.1778,,France
261,Montpellier,mpl,,61,43.6119,3.8772,,France
262,Malmo,mmx,,170,55.6052931,13.0001566,,Sweden
263,Norwich,nwi,,188,52.63,1.297,,United Kingdom
264,Newcastle,ncl,,188,55.0077,-1.6578,,United Kingdom
265,Newquay,nqy,,188,50.412,-5.0757,,United Kingdom
266,Nuremberg,nue,,65,49.4528,11.0778,,Germany
267,Naples,nap,,84,40.8333,14.25,,Italy
268,Constanta,cnd,,144,44.1733,28.6383,,Romania
269,Nantes,nte,,61,47.2181,-1.5528,,France
270,Nice,nce,,61,43.7034,7.2663,,France
271,Norrkoping,nrk,,170,58.5909124,16.1903511,,Sweden
272,Ostend,ost,,17,51.2258565,2.919496,,Belgium
273,Alderney,aci,,188,49.72837,-2.2254277,,United Kingdom
274,Oviedo,ovd,,166,43.3634,-5.8423,,Spain
275,Olbia,olb,,84,40.9143,9.5151,,Italy
276,Ohrid,ohd,,130,41.1169,20.8019,,North Macedonia
277,Oslo,oslo,"osl, trf",131,59.9111,10.7528,,Norway
279,Ostrava,osr,,45,49.8356,18.2925,,Czech Republic
280,Plovdiv,pdv,,26,42.1433,24.7489,,Bulgaria
281,Plymouth,plh,,188,50.3714,-4.1422,,United Kingdom
282,Paderborn,pad,,65,51.7167,8.7667,,Germany
283,Rostock,rlg,,65,54.0833,12.1333,,Germany
284,Palma Majorca,pmi,,166,39.568631,2.6482482,,Spain
285,Palermo,pmo,,84,38.1157,13.3613,,Italy
286,Pescara,psr,,84,42.4643,14.2142,,Italy
287,Pisa,psa,,84,43.7167,10.4,,Italy
288,Paphos,pfo,,44,34.7761,32.4265,,Cyprus
289,Palanga,plg,,101,55.9167,21.0639,,Lithuania
290,Ponta Delgada,pdl,,142,37.74,-25.67,,Portugal
291,Porto,opo,,142,41.1495,-8.6108,,Portugal
292,Poprad,tat,,159,49.05,20.3,,Slovakia
293,Paris,pari,"cdg, ory, bva, lbg",61,48.8566,2.3522,,France
294,Pula,puy,,42,44.8667,13.8333,,Croatia
295,Podgorica,tgd,,117,42.4397,19.2661,,Montenegro
296,Pardubice,ped,,45,50.0386,15.7792,,Czech Republic
297,Prague,prg,,45,50.0833,14.4167,,Czech Republic
299,Rhodes,rho,,67,36.4412,28.2225,,Greece
300,Reykjavik,reyk,"kef, rkv",77,64.145981,-21.9422367,,Iceland
301,Reus,reu,,166,41.1555564,1.1076133,,Spain
302,Rijeka,rjk,,42,45.3297,14.4322,,Croatia
303,Rome,rome,"fco, cia",84,41.8931,12.4828,,Italy
304,Rimini,rmi,,84,44.0594,12.5683,,Italy
305,Riga,rix,,95,56.9475,24.1069,,Latvia
306,Rotterdam,rtm,,124,51.92,4.48,,Netherlands
307,Ronneby,rnb,,170,56.3,15.283333,,Sweden
308,Salzburg,szg,,10,47.7972,13.0477,,Austria
309,Sofia,sof,,26,42.6975,23.3241,,Bulgaria
310,Sarajevo,sjj,,22,43.8667,18.4167,,Bosnia and Herzegovina
311,Southampton,sou,,188,50.9,-1.4,,United Kingdom
312,Swansea,sws,,188,41.7571,-71.212,,United Kingdom
314,Poznan,poz,,141,52.4,16.9167,,Poland
315,Saarbruecken,saar,"scn, zqw",65,49.234362,6.996379,,Germany
316,Stuttgart,str,,65,48.7761,9.1775,,Germany
317,Santorini,jtr,,67,36.4071112,25.4566637,,Greece
318,Shannon,snn,,82,52.7137,-8.8686,,Ireland
319,Salamanca,slm,,166,20.5703,-101.1972,,Spain
320,Santiago de Compostela,scq,,166,42.8805,-8.5457,,Spain
